Number;Type;X;Y;Z
1;1;13.096625;3.266019;-73.547514
1;1;-63.282977;3.266019;-28.697897
1;1;-41.941595;3.266019;57.266498
1;1;46.545493;3.266019;61.186577
1;1;75.404992;3.266019;-22.553861
1;1;3.290602;3.266019;-73.981932
1;1;-66.481149;3.266019;-19.417892
1;1;-33.949973;3.266019;62.965689
1;1;54.277506;3.266019;55.139862
1;1;71.799930;3.266019;-31.683502
1;1;-6.486651;3.266019;-73.114684
1;1;-68.422961;3.266019;-9.796241
1;1;-25.274357;3.266019;67.557038
1;1;61.141207;3.266019;48.122995
1;1;67.018259;3.266019;-40.255690
1;1;-16.063111;3.266019;-70.961029
1;1;-69.074248;3.266019;-0.002231
1;1;-16.067389;3.266019;70.959764
1;1;78.925752;5.646363;0.000000
1;1;25.916754;5.646363;-70.960396
1;1;-57.165541;5.646363;-40.257562
1;1;-51.291154;5.646363;48.121300
1;1;35.123825;5.646363;67.557949
1;1;78.274760;5.646363;-9.794030
1;1;16.340359;5.646363;-73.114340
1;1;-61.947471;5.646363;-31.685518
1;1;-44.427665;5.646363;55.138374
1;1;43.799579;5.646363;62.966861
1;1;76.333238;5.646363;-19.415739
1;1;6.563132;5.646363;-73.981883
1;1;-65.552809;5.646363;-22.555986
1;1;-36.695833;5.646363;61.185322
1;1;51.791373;5.646363;57.267910
1;1;73.135346;5.646363;-28.695841
1;1;-3.242904;5.646363;-73.547760
1;1;-67.918120;5.646363;-13.029596
1;1;-28.231696;5.646363;66.155753
1;1;58.958596;5.646363;50.561367
1;1;68.737349;5.646363;-37.471057
1;1;-12.905218;5.646363;-71.819611
1;1;-69.001788;5.646363;-3.273958
1;1;-19.184174;5.646363;69.962215
1;1;65.175144;5.646363;42.965228
1;1;63.216626;5.646363;-45.586994
1;1;-22.253806;5.646363;-68.827840
1;1;-68.784748;5.646363;6.539283
1;1;-9.712452;5.646363;72.537735
1;1;70.331642;5.646363;34.613142
1;1;56.670312;5.646363;-52.900856
1;1;-31.124188;5.646363;-64.625087
1;1;-67.270817;5.646363;16.237469
1;1;0.016819;5.646363;73.836999
1;1;74.337364;5.646363;25.652060
1;1;49.213584;5.646363;-59.283960
1;1;-39.360293;5.646363;-59.285295
1;1;-64.486633;5.646363;25.649967
1;1;9.832460;5.646363;73.837147
1;1;77.121832;5.646363;16.239645
1;1;40.977640;5.646363;-64.624000
1;1;-46.817213;5.646363;-52.902416
1;1;-60.481181;5.646363;34.611170
1;1;19.561770;5.646363;72.538176
1;1;78.636055;5.646363;6.541505
1;1;32.107385;5.646363;-68.827021
1;1;-53.363748;5.646363;-45.588751
1;1;-55.324935;5.646363;42.963411
1;1;29.033569;5.646363;69.962941
1;1;78.853391;5.646363;-3.271730
1;1;22.758887;5.646363;-71.819073
1;1;-58.884715;5.646363;-37.472981
1;1;-49.108616;5.646363;50.559738
1;1;38.081205;5.646363;66.156753
1;1;77.770016;5.646363;-13.027400
1;1;13.096625;5.646363;-73.547514
1;1;-63.282977;5.646363;-28.697897
1;1;-41.941595;5.646363;57.266498
1;1;46.545493;5.646363;61.186577
1;1;75.404992;5.646363;-22.553861
1;1;3.290602;5.646363;-73.981932
1;1;-66.481149;5.646363;-19.417892
1;1;-33.949973;5.646363;62.965689
1;1;54.277506;5.646363;55.139862
1;1;71.799930;5.646363;-31.683502
1;1;-6.486651;5.646363;-73.114684
1;1;-68.422961;5.646363;-9.796241
1;1;-25.274357;5.646363;67.557038
1;1;61.141207;5.646363;48.122995
1;1;67.018259;5.646363;-40.255690
1;1;-16.063111;5.646363;-70.961029
1;1;-69.074248;5.646363;-0.002231
1;1;-16.067389;5.646363;70.959764
1;1;78.925752;8.753116;0.000000
1;1;25.916754;8.753116;-70.960396
1;1;-57.165541;8.753116;-40.257562
1;1;-51.291154;8.753116;48.121300
1;1;35.123825;8.753116;67.557949
1;1;78.274760;8.753116;-9.794030
1;1;16.340359;8.753116;-73.114340
1;1;-61.947471;8.753116;-31.685518
1;1;-44.427665;8.753116;55.138374
1;1;43.799579;8.753116;62.966861
1;1;76.333238;8.753116;-19.415739
1;1;6.563132;8.753116;-73.981883
1;1;-65.552809;8.753116;-22.555986
1;1;-36.695833;8.753116;61.185322
1;1;51.791373;8.753116;57.267910
1;1;73.135346;8.753116;-28.695841
1;1;-3.242904;8.753116;-73.547760
1;1;-67.918120;8.753116;-13.029596
1;1;-28.231696;8.753116;66.155753
1;1;58.958596;8.753116;50.561367
1;1;68.737349;8.753116;-37.471057
1;1;-12.905218;8.753116;-71.819611
1;1;-69.001788;8.753116;-3.273958
1;1;-19.184174;8.753116;69.962215
1;1;65.175144;8.753116;42.965228
1;1;63.216626;8.753116;-45.586994
1;1;-22.253806;8.753116;-68.827840
1;1;-68.784748;8.753116;6.539283
1;1;-9.712452;8.753116;72.537735
1;1;70.331642;8.753116;34.613142
