Number;Type;X;Y;Z
1;2;137.189511;75.046029;12.357435
1;2;-43.727867;75.046029;81.034806
1;2;125.687228;75.046029;-12.486338
1;2;-28.834741;75.046029;104.006752
1;2;107.701343;75.046029;-33.126674
1;2;-8.116085;75.046029;121.902362
1;2;84.664601;75.046029;-47.919377
1;2;16.777663;75.046029;133.296082
1;2;141.249297;78.046029;40.281257
1;2;-51.687635;78.046029;53.963349
1;2;137.387663;78.046029;13.190919
1;2;-44.041658;78.046029;80.237627
1;2;126.110377;78.046029;-11.741418
1;2;-29.358777;78.046029;103.329003
1;2;108.315780;78.046029;-32.529659
1;2;-8.808623;78.046029;121.398031
1;2;85.421380;78.046029;-47.517824
1;2;15.971791;78.046029;133.005344
1;2;59.250932;78.046029;-55.511964
1;2;43.008471;78.046029;137.226309
1;2;31.889159;78.046029;-55.875272
1;2;70.147691;78.046029;133.724687
1;2;5.515684;78.046029;-48.578805
1;2;95.227556;78.046029;122.779415
1;2;-17.768598;78.046029;-34.203797
1;2;116.250219;78.046029;105.262387
1;2;-36.108873;78.046029;-13.895352
1;2;131.541026;78.046029;82.568999
1;2;-48.044166;78.046029;10.728770
1;2;139.881920;78.046029;56.506994
1;2;-52.623718;78.046029;37.707027
1;2;140.608471;78.046029;29.152456
1;2;-49.482726;78.046029;64.890345
1;2;133.662801;78.046029;2.684432
1;2;-38.871397;78.046029;90.113317
1;2;119.598200;78.046029;-20.788651
1;2;-21.635025;78.046029;111.366696
1;2;99.535044;78.046029;-39.396940
1;2;0.853350;78.046029;126.957450
1;2;75.071554;78.046029;-51.658109
1;2;26.802318;78.046029;135.643628
1;2;48.156477;78.046029;-56.595441
1;2;54.144799;78.046029;136.733293
1;2;20.933852;78.046029;-53.815631
1;2;80.702706;78.046029;130.139645
1;2;-4.427781;78.046029;-43.540117
1;2;104.360452;78.046029;116.387930
1;2;-25.908129;78.046029;-26.587440
1;2;123.233474;78.046029;96.573600
1;2;-41.796081;78.046029;-4.308042
1;2;135.818358;78.046029;72.275055
1;2;-50.826011;78.046029;21.523315
1;2;141.112600;78.046029;45.427901
1;2;-52.278600;78.046029;48.848919
1;2;138.694463;78.046029;18.170770
1;2;-46.038136;78.046029;75.492027
1;2;128.756574;78.046029;-7.325054
1;2;-32.601730;78.046029;99.330266
1;2;112.090581;78.046029;-29.028585
1;2;-13.039719;78.046029;118.464694
1;2;90.024086;78.046029;-45.210935
1;2;11.089598;78.046029;131.371075
1;2;64.314894;78.046029;-54.583025
1;2;37.864094;78.046029;137.021293
1;2;37.010985;78.046029;-56.398282
1;2;65.150929;78.046029;134.965255
1;2;10.287372;78.046029;-50.512101
1;2;90.776448;78.046029;125.366744
1;2;-13.727158;78.046029;-37.393374
1;2;112.699337;78.046029;108.990372
1;2;-33.119620;78.046029;-18.087130
1;2;129.173231;78.046029;87.140671
1;2;-46.345222;78.046029;5.868706
1;2;138.885830;78.046029;61.558176
1;2;-52.350420;78.046029;32.565826
1;2;141.063433;78.046029;34.280774
1;2;-50.656843;78.046029;59.877553
1;2;135.532574;78.046029;7.481367
1;2;-41.399402;78.046029;85.628250
1;2;122.733838;78.046029;-16.705220
1;2;-25.315538;78.046029;107.766632
1;2;103.686765;78.046029;-36.352296
1;2;-3.686483;78.046029;124.529167
1;2;79.908633;78.046029;-49.894788
1;2;21.764806;78.046029;134.580562
1;2;53.293596;78.046029;-56.253908
1;2;49.010892;78.046029;137.120129
1;2;25.961791;78.046029;-54.923092
